date,precipitation
2015-12-19,38.29157256558343
2015-12-20,29.1
2015-12-21,2.8
2015-12-22,2.5
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,4.25
2015-12-28,8.5
2015-12-29,0.0
2015-12-30,2.5
2015-12-31,4.8
2016-01-01,3.466666666666667
2016-01-02,1.6
2016-01-03,0.5333333333333334
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,1.3
2016-01-10,21.0
2016-01-11,12.164179104477611
2016-01-12,2.5
2016-01-13,1.5
2016-01-14,7.2
2016-01-15,66.5
2016-01-16,38.975974025974025
2016-01-17,6.8
2016-01-18,0.8
2016-01-19,0.19230769230769235
2016-01-20,0.0
2016-01-21,9.3
2016-01-22,0.2
2016-01-23,2.0
2016-01-24,0.0
2016-01-25,1.0
2016-01-26,0.5
2016-01-27,0.16346153846153846
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.3888888888888889
2016-01-31,1.1111111111111112
2016-02-01,1.5
2016-02-02,1.5
2016-02-03,1.5
2016-02-04,2.0
2016-02-05,0.0
2016-02-06,2.5
2016-02-07,10.5
2016-02-08,1.5
2016-02-09,4.1
2016-02-10,1.5
2016-02-11,2.0
2016-02-12,0.0
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,3.0
2016-02-20,6.0
2016-02-21,0.0
2016-02-22,2.0
2016-02-23,5.412345679012346
2016-02-24,9.446913580246914
2016-02-25,12.0
2016-02-26,13.012345679012345
2016-02-27,13.728395061728396
2016-02-28,14.0
2016-02-29,0.0
2016-03-01,0.4318181818181818
2016-03-02,1.0
2016-03-03,1.2
2016-03-04,1.5
2016-03-05,1.0
2016-03-06,1.1500000000000001
2016-03-07,1.3
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,6.75
2016-04-03,13.5
2016-04-04,0.0
2016-04-05,22.7
2016-04-06,16.814814814814813
2016-04-07,5.885185185185184
2016-04-08,0.0
2016-04-09,0.0
2016-04-10,0.12962962962962962
2016-04-11,0.37037037037037035
2016-04-12,0.5
2016-04-13,0.0
2016-04-14,2.5
2016-04-15,5.0
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,1.6007462686567162
2016-04-22,5.5
2016-04-23,20.649253731343283
2016-04-24,33.5
2016-04-25,1.2
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,2.2
2016-05-01,1.1
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.3888888888888889
