date,pr
15-08-2015,0
16-08-2015,0
17-08-2015,0
18-08-2015,0
19-08-2015,13.5
20-08-2015,0
21-08-2015,0
22-08-2015,
23-08-2015,0
24-08-2015,
25-08-2015,3.6
26-08-2015,1
27-08-2015,0.5
28-08-2015,
29-08-2015,0
30-08-2015,
31-08-2015,
01-09-2015,14.9
02-09-2015,0
03-09-2015,
04-09-2015,13.8
05-09-2015,
06-09-2015,0
07-09-2015,
08-09-2015,25.7
09-09-2015,7
10-09-2015,
11-09-2015,0
12-09-2015,0
13-09-2015,0
14-09-2015,0
15-09-2015,0
16-09-2015,8.7
17-09-2015,0
18-09-2015,2.8
19-09-2015,0
20-09-2015,
21-09-2015,0
22-09-2015,28.6
23-09-2015,
24-09-2015,
25-09-2015,
26-09-2015,
27-09-2015,
28-09-2015,0
29-09-2015,
30-09-2015,0
01-10-2015,
02-10-2015,1.4
03-10-2015,
04-10-2015,
05-10-2015,
06-10-2015,21.5
07-10-2015,
08-10-2015,0
09-10-2015,4.5
10-10-2015,
11-10-2015,8
12-10-2015,1.6
13-10-2015,0
14-10-2015,0
15-10-2015,
16-10-2015,0
17-10-2015,0.2
18-10-2015,0
19-10-2015,
20-10-2015,0
21-10-2015,0
22-10-2015,
23-10-2015,
24-10-2015,0
25-10-2015,
26-10-2015,15.6
27-10-2015,7.6
28-10-2015,9
29-10-2015,33
30-10-2015,36.5
31-10-2015,
01-11-2015,7.6
02-11-2015,5
03-11-2015,2.3
04-11-2015,14.8
05-11-2015,4
06-11-2015,0
07-11-2015,55.1
08-11-2015,1
09-11-2015,19
10-11-2015,0
11-11-2015,
12-11-2015,
13-11-2015,
14-11-2015,0
15-11-2015,20.5
16-11-2015,18.6
17-11-2015,2.5
18-11-2015,
19-11-2015,8.5
20-11-2015,61
21-11-2015,
22-11-2015,2
23-11-2015,11.7
24-11-2015,14.6
25-11-2015,13.2
26-11-2015,40
27-11-2015,86.1
28-11-2015,2
29-11-2015,42.5
30-11-2015,19
01-12-2015,6.2
02-12-2015,15.9
03-12-2015,0
04-12-2015,0
05-12-2015,12
06-12-2015,10.6
07-12-2015,2
08-12-2015,0
09-12-2015,4.5
10-12-2015,17
11-12-2015,14.5
12-12-2015,1
13-12-2015,41.7
14-12-2015,
15-12-2015,15
16-12-2015,1.5
17-12-2015,46.4
18-12-2015,
19-12-2015,
20-12-2015,29.1
21-12-2015,2.8
22-12-2015,2.5
23-12-2015,0
24-12-2015,0
25-12-2015,
26-12-2015,0
27-12-2015,
28-12-2015,8.5
29-12-2015,0
30-12-2015,2.5
31-12-2015,4.8
01-01-2016,
02-01-2016,1.6
03-01-2016,
04-01-2016,0
05-01-2016,
06-01-2016,
07-01-2016,
08-01-2016,0
09-01-2016,1.3
10-01-2016,21
11-01-2016,
12-01-2016,2.5
13-01-2016,1.5
14-01-2016,7.2
15-01-2016,66.5
16-01-2016,
17-01-2016,6.8
18-01-2016,0.8
19-01-2016,
20-01-2016,0
21-01-2016,9.3
22-01-2016,0.2
23-01-2016,2
24-01-2016,0
25-01-2016,1
26-01-2016,0.5
27-01-2016,
28-01-2016,0
29-01-2016,0
30-01-2016,
31-01-2016,
01-02-2016,1.5
02-02-2016,
03-02-2016,1.5
04-02-2016,2
05-02-2016,0
06-02-2016,2.5
07-02-2016,10.5
08-02-2016,1.5
09-02-2016,4.1
10-02-2016,1.5
11-02-2016,2
12-02-2016,0
13-02-2016,0
14-02-2016,0
15-02-2016,
16-02-2016,0
17-02-2016,0
18-02-2016,0
19-02-2016,
20-02-2016,6
21-02-2016,0
22-02-2016,2
23-02-2016,
24-02-2016,
25-02-2016,12
26-02-2016,
27-02-2016,
28-02-2016,14
29-02-2016,0
01-03-2016,
02-03-2016,1
03-03-2016,1.2
04-03-2016,1.5
05-03-2016,1
06-03-2016,
07-03-2016,1.3
08-03-2016,0
09-03-2016,
10-03-2016,0
11-03-2016,
12-03-2016,
13-03-2016,
14-03-2016,
15-03-2016,0
16-03-2016,0
17-03-2016,
18-03-2016,
19-03-2016,0
20-03-2016,0
21-03-2016,
22-03-2016,
23-03-2016,0
24-03-2016,0
25-03-2016,
26-03-2016,
27-03-2016,0
28-03-2016,0
29-03-2016,0
30-03-2016,0
31-03-2016,0
01-04-2016,0
02-04-2016,
03-04-2016,13.5
04-04-2016,0
05-04-2016,22.7
06-04-2016,
07-04-2016,
08-04-2016,0
09-04-2016,0
10-04-2016,
11-04-2016,
12-04-2016,0.5
13-04-2016,0
14-04-2016,
15-04-2016,5
16-04-2016,0
17-04-2016,0
18-04-2016,
19-04-2016,
20-04-2016,0
21-04-2016,
22-04-2016,5.5
23-04-2016,
24-04-2016,33.5
25-04-2016,1.2
26-04-2016,0
27-04-2016,
28-04-2016,0
29-04-2016,0
30-04-2016,2.2
01-05-2016,
02-05-2016,0
03-05-2016,0
04-05-2016,
05-05-2016,
06-05-2016,1.5
07-05-2016,
08-05-2016,
09-05-2016,0
10-05-2016,0
11-05-2016,0
12-05-2016,
13-05-2016,7
14-05-2016,1
15-05-2016,1.9
16-05-2016,0
17-05-2016,7.5
18-05-2016,0
19-05-2016,8
20-05-2016,7.4
21-05-2016,82.5
22-05-2016,53.2
23-05-2016,14.3
24-05-2016,
25-05-2016,0
26-05-2016,
27-05-2016,23
28-05-2016,1
29-05-2016,0
30-05-2016,
31-05-2016,
01-06-2016,8
02-06-2016,93
03-06-2016,2.5
04-06-2016,55.6
05-06-2016,39.5
06-06-2016,0.9
07-06-2016,0
08-06-2016,
09-06-2016,1.9
10-06-2016,12
11-06-2016,1
12-06-2016,2
13-06-2016,10
14-06-2016,
15-06-2016,2.3
16-06-2016,22.5
17-06-2016,
18-06-2016,
19-06-2016,28.3
20-06-2016,9.9
21-06-2016,
22-06-2016,22
23-06-2016,1.6
24-06-2016,49.3
25-06-2016,24.8
26-06-2016,
27-06-2016,0
28-06-2016,8.1
29-06-2016,
30-06-2016,
01-07-2016,
02-07-2016,
03-07-2016,
04-07-2016,3.5
05-07-2016,0
06-07-2016,
07-07-2016,
08-07-2016,0
09-07-2016,13.3
10-07-2016,
11-07-2016,0
12-07-2016,
13-07-2016,
14-07-2016,21
15-07-2016,12
16-07-2016,7.8
17-07-2016,
18-07-2016,0
19-07-2016,
20-07-2016,1.5
21-07-2016,1.3
22-07-2016,3.5
23-07-2016,
24-07-2016,
25-07-2016,1.5
26-07-2016,36.6
27-07-2016,0.3
28-07-2016,
29-07-2016,
30-07-2016,9.3
31-07-2016,7
01-08-2016,1.5
02-08-2016,4.6
03-08-2016,
04-08-2016,10
05-08-2016,
06-08-2016,2.5
07-08-2016,
08-08-2016,45
09-08-2016,
10-08-2016,
11-08-2016,
